height,time,diff
594470,1568265204,10771996663680.4
594471,1568266949,10771996663680.4
594472,1568267253,10771996663680.4
594473,1568268276,10771996663680.4
594474,1568268534,10771996663680.4
594475,1568270482,10771996663680.4
594476,1568271299,10771996663680.4
594477,1568271928,10771996663680.4
594478,1568271981,10771996663680.4
594479,1568272367,10771996663680.4
594480,1568272503,10771996663680.4
594481,1568273444,10771996663680.4
594482,1568275226,10771996663680.4
594483,1568276089,10771996663680.4
594484,1568276640,10771996663680.4
594485,1568276717,10771996663680.4
594486,1568276975,10771996663680.4
594487,1568277451,10771996663680.4
594488,1568277522,10771996663680.4
594489,1568278059,10771996663680.4
594490,1568278359,10771996663680.4
594491,1568279041,10771996663680.4
594492,1568279462,10771996663680.4
594493,1568279513,10771996663680.4
594494,1568279663,10771996663680.4
594495,1568279764,10771996663680.4
594496,1568279807,10771996663680.4
594497,1568280175,10771996663680.4
594498,1568280229,10771996663680.4
594499,1568280292,10771996663680.4
594500,1568280490,10771996663680.4
594501,1568280848,10771996663680.4
594502,1568281290,10771996663680.4
594503,1568282844,10771996663680.4
594504,1568283518,10771996663680.4
594505,1568283550,10771996663680.4
594506,1568284279,10771996663680.4
594507,1568286046,10771996663680.4
594508,1568286389,10771996663680.4
594509,1568287159,10771996663680.4
594510,1568287497,10771996663680.4
594511,1568287614,10771996663680.4
594512,1568289326,10771996663680.4
594513,1568289896,10771996663680.4
594514,1568290301,10771996663680.4
594515,1568290472,10771996663680.4
594516,1568291129,10771996663680.4
594517,1568291263,10771996663680.4
594518,1568291364,10771996663680.4
594519,1568292197,10771996663680.4
594520,1568292388,10771996663680.4
594521,1568292569,10771996663680.4
594522,1568292688,10771996663680.4
594523,1568293302,10771996663680.4
594524,1568294519,10771996663680.4
594525,1568294552,10771996663680.4
594526,1568294868,10771996663680.4
594527,1568295211,10771996663680.4
594528,1568296261,10771996663680.4
594529,1568297804,10771996663680.4
594530,1568297933,10771996663680.4
594531,1568298705,10771996663680.4
594532,1568299340,10771996663680.4
594533,1568299526,10771996663680.4
594534,1568300923,10771996663680.4
594535,1568301077,10771996663680.4
594536,1568301379,10771996663680.4
594537,1568302431,10771996663680.4
594538,1568302833,10771996663680.4
594539,1568302878,10771996663680.4
594540,1568303491,10771996663680.4
594541,1568305311,10771996663680.4
594542,1568305337,10771996663680.4
594543,1568305395,10771996663680.4
594544,1568306619,10771996663680.4
594545,1568306774,10771996663680.4
594546,1568308694,10771996663680.4
594547,1568308921,10771996663680.4
594548,1568308927,10771996663680.4
594549,1568309726,10771996663680.4
594550,1568310076,10771996663680.4
594551,1568310476,10771996663680.4
594552,1568311108,10771996663680.4
594553,1568311109,10771996663680.4
594554,1568311206,10771996663680.4
594555,1568311996,10771996663680.4
594556,1568312383,10771996663680.4
594557,1568312584,10771996663680.4
594558,1568312702,10771996663680.4
594559,1568313065,10771996663680.4
594560,1568313870,10771996663680.4
594561,1568314196,10771996663680.4
594562,1568315117,10771996663680.4
594563,1568315258,10771996663680.4
594564,1568317051,10771996663680.4
594565,1568317475,10771996663680.4
594566,1568318040,10771996663680.4
594567,1568318347,10771996663680.4
594568,1568318722,10771996663680.4
594569,1568318891,10771996663680.4
594570,1568318921,10771996663680.4
594571,1568319771,10771996663680.4
594572,1568319932,10771996663680.4
594573,1568319944,10771996663680.4
594574,1568320124,10771996663680.4
594575,1568321112,10771996663680.4
594576,1568322418,10771996663680.4
594577,1568324538,10771996663680.4
594578,1568324933,10771996663680.4
594579,1568326026,10771996663680.4
594580,1568326317,10771996663680.4
594581,1568326666,10771996663680.4
594582,1568326891,10771996663680.4
594583,1568327179,10771996663680.4
594584,1568327208,10771996663680.4
594585,1568327342,10771996663680.4
594586,1568327949,10771996663680.4
594587,1568327977,10771996663680.4
594588,1568328136,10771996663680.4
594589,1568328674,10771996663680.4
594590,1568329288,10771996663680.4
594591,1568330490,10771996663680.4
594592,1568331565,10771996663680.4
594593,1568331825,10771996663680.4
594594,1568332320,10771996663680.4
